"","chromosome_name","spin","ensembl_gene_id","hgnc_symbol"
"73","chr10","Lamina","ENSG00000108018","SORCS1"
"74","chr10","Near_Lm2","ENSG00000108018","SORCS1"
"75","chr10","Near_Lm2","ENSG00000107518","ATRNL1"
"76","chr10","Lamina","ENSG00000107518","ATRNL1"
"77","chr10","Interior_Repr1","ENSG00000107518","ATRNL1"
"78","chr10","Near_Lm1","ENSG00000187164","KIAA1598"
"79","chr10","Near_Lm1","ENSG00000177640","CASC2"
"80","chr11","Near_Lm1","ENSG00000167346","MMP26"
"81","chr11","Interior_Repr1","ENSG00000132256","TRIM5"
"82","chr11","Near_Lm1","ENSG00000130413","STK33"
"83","chr11","Near_Lm2","ENSG00000165970","SLC6A5"
"84","chr11","Near_Lm2","ENSG00000165973","NELL1"
"85","chr11","Lamina","ENSG00000165973","NELL1"
"86","chr11","Lamina","ENSG00000182255","KCNA4"
"87","chr11","Interior_Act3","ENSG00000186714","CCDC73"
"88","chr11","Interior_Act1","ENSG00000166900","STX3"
"89","chr11","Near_Lm2","ENSG00000150672","DLG2"
"90","chr11","Lamina","ENSG00000150672","DLG2"
"91","chr11","Interior_Act3","ENSG00000151376","ME3"
"92","chr11","Interior_Act3","ENSG00000150687","PRSS23"
"93","chr11","Near_Lm2","ENSG00000109861","CTSC"
"94","chr11","Interior_Act3","ENSG00000166037","CEP57"
"95","chr11","Interior_Act3","ENSG00000087053","MTMR2"
"96","chr11","Interior_Act3","ENSG00000184384","MAML2"
"97","chr11","Near_Lm2","ENSG00000184384","MAML2"
"98","chr11","Near_Lm2","ENSG00000137673","MMP7"
"99","chr11","Near_Lm2","ENSG00000137634","NXPE4"
"100","chr11","Near_Lm2","ENSG00000154143","PANX3"
"101","chr11","Near_Lm2","ENSG00000043039","BARX2"
"102","chr12","Near_Lm1","ENSG00000111215","PRR4"
"103","chr12","Interior_Repr1","ENSG00000251655","PRB1"
"104","chr12","Interior_Repr1","ENSG00000121335","PRB2"
"105","chr12","Interior_Repr2","ENSG00000121335","PRB2"
"106","chr12","Interior_Act3","ENSG00000070019","GUCY2C"
"107","chr12","Lamina","ENSG00000188991","SLC15A5"
"108","chr12","Lamina","ENSG00000139144","PIK3C2G"
"109","chr12","Near_Lm2","ENSG00000139144","PIK3C2G"
"110","chr12","Near_Lm2","ENSG00000139154","AEBP2"
"111","chr12","Near_Lm1","ENSG00000118307","CASC1"
"112","chr12","Interior_Act3","ENSG00000139174","PRICKLE1"
"113","chr12","Near_Lm2","ENSG00000139174","PRICKLE1"
"114","chr12","Near_Lm2","ENSG00000135655","USP15"
"115","chr12","Interior_Act3","ENSG00000135655","USP15"
"116","chr12","Interior_Act3","ENSG00000111110","PPM1H"
"117","chr12","Near_Lm2","ENSG00000111110","PPM1H"
"118","chr12","Near_Lm1","ENSG00000241749","RPSAP52"
"119","chr12","Interior_Act3","ENSG00000153233","PTPRR"
"120","chr12","Near_Lm2","ENSG00000153233","PTPRR"
"121","chr12","Lamina","ENSG00000166006","KCNC2"
"122","chr12","Near_Lm2","ENSG00000165891","E2F7"
"123","chr12","Lamina","ENSG00000111058","ACSS3"
"124","chr12","Lamina","ENSG00000139220","PPFIA2"
"125","chr12","Lamina","ENSG00000133773","CCDC59"
"126","chr12","Interior_Act3","ENSG00000257242","C12orf79"
"127","chr12","Near_Lm2","ENSG00000188596","C12orf55"
"128","chr12","Lamina","ENSG00000188596","C12orf55"
"129","chr12","Near_Lm2","ENSG00000185046","ANKS1B"
"130","chr12","Lamina","ENSG00000185046","ANKS1B"
"131","chr12","Speckle","ENSG00000090615","GOLGA3"
"132","chr13","Near_Lm1","ENSG00000226722","LINC00424"
"133","chr13","Near_Lm1","ENSG00000133116","KL"
"134","chr13","Lamina","ENSG00000172915","NBEA"
"135","chr13","Near_Lm2","ENSG00000172915","NBEA"
"136","chr13","Near_Lm2","ENSG00000133083","DCLK1"
"137","chr13","Near_Lm1","ENSG00000133103","COG6"
"138","chr13","Interior_Act3","ENSG00000102445","KIAA0226L"
"139","chr13","Interior_Act3","ENSG00000241353","PPP1R2P4"
"140","chr13","Near_Lm2","ENSG00000139734","DIAPH3"
"141","chr13","Interior_Act3","ENSG00000139734","DIAPH3"
"142","chr13","Lamina","ENSG00000165659","DACH1"
"143","chr13","Near_Lm2","ENSG00000083535","PIBF1"
"144","chr13","Interior_Act3","ENSG00000083535","PIBF1"
"145","chr13","Near_Lm2","ENSG00000183098","GPC6"
"146","chr13","Lamina","ENSG00000183098","GPC6"
"147","chr13","Interior_Act3","ENSG00000102580","DNAJC3"
"148","chr13","Lamina","ENSG00000204442","FAM155A"
"149","chr13","Near_Lm2","ENSG00000204442","FAM155A"
"150","chr14","Interior_Act3","ENSG00000092108","SCFD1"
"151","chr14","Interior_Act3","ENSG00000129521","EGLN3"
"152","chr14","Near_Lm1","ENSG00000129521","EGLN3"
"153","chr14","Interior_Repr2","ENSG00000129521","EGLN3"
"154","chr14","Near_Lm2","ENSG00000139865","TTC6"
"155","chr14","Lamina","ENSG00000139865","TTC6"
"156","chr14","Near_Lm2","ENSG00000259070","LINC00639"
"157","chr14","Near_Lm2","ENSG00000198718","FAM179B"
"158","chr14","Interior_Act3","ENSG00000198718","FAM179B"
"159","chr14","Interior_Act3","ENSG00000100505","TRIM9"
"160","chr14","Near_Lm1","ENSG00000248550","OTX2-AS1"
"161","chr14","Near_Lm2","ENSG00000139970","RTN1"
"162","chr14","Near_Lm2","ENSG00000131951","LRRC9"
"163","chr14","Lamina","ENSG00000140015","KCNH5"
"164","chr14","Near_Lm2","ENSG00000140015","KCNH5"
"165","chr14","Near_Lm2","ENSG00000054983","GALC"
"166","chr14","Near_Lm2","ENSG00000165521","EML5"
"167","chr14","Near_Lm1","ENSG00000011114","BTBD7"
"168","chr14","Near_Lm1","ENSG00000133958","UNC79"
"169","chr15","Near_Lm1","ENSG00000179455","MKRN3"
"170","chr15","Near_Lm1","ENSG00000166922","SCG5"
"171","chr15","Interior_Repr2","ENSG00000175265","GOLGA8A"
"172","chr15","Interior_Repr2","ENSG00000215252","GOLGA8B"
"173","chr15","Near_Lm2","ENSG00000137767","SQRDL"
"174","chr15","Near_Lm2","ENSG00000137872","SEMA6D"
"175","chr15","Near_Lm1","ENSG00000156958","GALK2"
"176","chr15","Near_Lm2","ENSG00000156958","GALK2"
"177","chr15","Near_Lm1","ENSG00000166450","PRTG"
"178","chr15","Near_Lm1","ENSG00000151575","TEX9"
"179","chr15","Near_Lm1","ENSG00000138587","MNS1"
"180","chr15","Interior_Repr1","ENSG00000140600","SH3GL3"
"181","chr15","Near_Lm2","ENSG00000166748","AGBL1"
"182","chr15","Lamina","ENSG00000166748","AGBL1"
"183","chr15","Lamina","ENSG00000140563","MCTP2"
"184","chr16","Interior_Repr1","ENSG00000197302","ZNF720"
"185","chr16","Near_Lm1","ENSG00000103546","SLC6A2"
"186","chr16","Interior_Repr2","ENSG00000103546","SLC6A2"
"187","chr16","Lamina","ENSG00000150394","CDH8"
"188","chr17","Interior_Repr1","ENSG00000236088","COX10-AS1"
"189","chr17","Interior_Repr2","ENSG00000236088","COX10-AS1"
"190","chr17","Near_Lm2","ENSG00000154975","CA10"
"191","chr18","Near_Lm2","ENSG00000263753","LINC00667"
"192","chr18","Near_Lm1","ENSG00000173482","PTPRM"
"193","chr18","Near_Lm2","ENSG00000173482","PTPRM"
"194","chr18","Near_Lm1","ENSG00000067900","ROCK1"
"195","chr18","Near_Lm1","ENSG00000141449","GREB1L"
"196","chr18","Near_Lm1","ENSG00000141447","OSBPL1A"
"197","chr18","Interior_Act3","ENSG00000118276","B4GALT6"
"198","chr18","Lamina","ENSG00000101746","NOL4"
"199","chr18","Near_Lm2","ENSG00000150477","KIAA1328"
"200","chr18","Lamina","ENSG00000267374","LINC00669"
"201","chr18","Near_Lm2","ENSG00000132874","SLC14A2"
"202","chr18","Near_Lm1","ENSG00000132874","SLC14A2"
"203","chr18","Lamina","ENSG00000187323","DCC"
"204","chr18","Interior_Repr2","ENSG00000081923","ATP8B1"
"205","chr18","Interior_Act2","ENSG00000081923","ATP8B1"
"206","chr18","Lamina","ENSG00000101542","CDH20"
"207","chr18","Near_Lm2","ENSG00000101542","CDH20"
"208","chr18","Interior_Act3","ENSG00000081913","PHLPP1"
"209","chr18","Near_Lm1","ENSG00000081913","PHLPP1"
"210","chr18","Interior_Act3","ENSG00000215421","ZNF407"
"211","chr18","Near_Lm1","ENSG00000215421","ZNF407"
"212","chr19","Interior_Repr1","ENSG00000256771","ZNF253"
"213","chr19","Interior_Repr1","ENSG00000197134","ZNF257"
"214","chr19","Near_Lm1","ENSG00000196081","ZNF724P"
"215","chr19","Near_Lm1","ENSG00000213096","ZNF254"
"216","chr19","Near_Lm2","ENSG00000213096","ZNF254"
"217","chr19","Interior_Repr1","ENSG00000142065","ZFP14"
"218","chr19","Interior_Repr1","ENSG00000245680","ZNF585B"
"219","chr19","Interior_Repr1","ENSG00000188283","ZNF383"
"220","chr19","Interior_Repr1","ENSG00000181666","HKR1"
"221","chr19","Interior_Repr1","ENSG00000131115","ZNF227"
"222","chr19","Interior_Repr1","ENSG00000159917","ZNF235"
"223","chr19","Speckle","ENSG00000198482","ZNF808"
"224","chr19","Speckle","ENSG00000160505","NLRP4"
"225","chr19","Speckle","ENSG00000131848","ZSCAN5A"
"226","chr19","Interior_Repr1","ENSG00000131848","ZSCAN5A"
"227","chr19","Interior_Repr1","ENSG00000198046","ZNF667"
"228","chr19","Speckle","ENSG00000198131","ZNF544"
"229","chr2","Lamina","ENSG00000230448","LINC00276"
"230","chr2","Near_Lm2","ENSG00000197872","FAM49A"
"231","chr2","Near_Lm2","ENSG00000118961","C2orf43"
"232","chr2","Interior_Repr2","ENSG00000171094","ALK"
"233","chr2","Near_Lm1","ENSG00000171094","ALK"
"234","chr2","Near_Lm2","ENSG00000227028","SLC8A1-AS1"
"235","chr2","Lamina","ENSG00000227028","SLC8A1-AS1"
"236","chr2","Lamina","ENSG00000183023","SLC8A1"
"237","chr2","Near_Lm2","ENSG00000115239","GPR75-ASB3"
"238","chr2","Near_Lm1","ENSG00000144036","EXOC6B"
"239","chr2","Lamina","ENSG00000176204","LRRTM4"
"240","chr2","Near_Lm1","ENSG00000172086","KRCC1"
"241","chr2","Near_Lm1","ENSG00000241962","C2orf15"
"242","chr2","Interior_Repr2","ENSG00000241962","C2orf15"
"243","chr2","Interior_Repr2","ENSG00000144214","LYG1"
"244","chr2","Near_Lm1","ENSG00000019169","MARCO"
"245","chr2","Lamina","ENSG00000155052","CNTNAP5"
"246","chr2","Interior_Act2","ENSG00000115762","PLEKHB2"
"247","chr2","Interior_Act1","ENSG00000115762","PLEKHB2"
"248","chr2","Near_Lm2","ENSG00000163046","ANKRD30BL"
"249","chr2","Lamina","ENSG00000144229","THSD7B"
"250","chr2","Lamina","ENSG00000168702","LRP1B"
"251","chr2","Near_Lm2","ENSG00000204406","MBD5"
"252","chr2","Lamina","ENSG00000204406","MBD5"
"253","chr2","Interior_Act3","ENSG00000182389","CACNB4"
"254","chr2","Lamina","ENSG00000144278","GALNT13"
"255","chr2","Interior_Act3","ENSG00000144283","PKP4"
"256","chr2","Interior_Act3","ENSG00000115183","TANC1"
"257","chr2","Interior_Act3","ENSG00000123636","BAZ2B"
"258","chr2","Near_Lm2","ENSG00000144290","SLC4A10"
"259","chr2","Lamina","ENSG00000144290","SLC4A10"
"260","chr2","Lamina","ENSG00000182263","FIGN"
"261","chr2","Lamina","ENSG00000136531","SCN2A"
"262","chr2","Interior_Act3","ENSG00000152253","SPC25"
"263","chr2","Interior_Act3","ENSG00000152254","G6PC2"
"264","chr2","Interior_Act3","ENSG00000081479","LRP2"
"265","chr2","NAN","ENSG00000081479","LRP2"
"266","chr2","Interior_Act3","ENSG00000128655","PDE11A"
"267","chr2","Near_Lm2","ENSG00000128655","PDE11A"
"268","chr2","Interior_Act3","ENSG00000155636","RBM45"
"269","chr2","Lamina","ENSG00000115232","ITGA4"
"270","chr2","Near_Lm2","ENSG00000061676","NCKAP1"
"271","chr2","Interior_Act3","ENSG00000061676","NCKAP1"
"272","chr2","Near_Lm2","ENSG00000163002","NUP35"
"273","chr2","NAN","ENSG00000163002","NUP35"
"274","chr2","Near_Lm2","ENSG00000138378","STAT4"
"275","chr2","Near_Lm2","ENSG00000138411","HECW2"
"276","chr2","Interior_Act3","ENSG00000138411","HECW2"
"277","chr2","Near_Lm2","ENSG00000119042","SATB2"
"278","chr2","Near_Lm2","ENSG00000226124","FTCDNL1"
"279","chr2","Interior_Repr2","ENSG00000082146","STRADB"
"280","chr2","Lamina","ENSG00000030419","IKZF2"
"281","chr2","Interior_Act3","ENSG00000115414","FN1"
"282","chr2","Interior_Act3","ENSG00000235770","LINC00607"
"283","chr2","Lamina","ENSG00000135903","PAX3"
"284","chr2","Near_Lm2","ENSG00000152049","KCNE4"
"285","chr20","Near_Lm2","ENSG00000182621","PLCB1"
"286","chr20","Lamina","ENSG00000182621","PLCB1"
"287","chr20","Near_Lm2","ENSG00000125879","OTOR"
"288","chr21","Near_Lm2","ENSG00000154639","CXADR"
"289","chr21","Near_Lm2","ENSG00000154645","CHODL"
"290","chr21","Lamina","ENSG00000154645","CHODL"
"291","chr3","Near_Lm2","ENSG00000091181","IL5RA"
"292","chr3","Near_Lm2","ENSG00000196277","GRM7"
"293","chr3","Lamina","ENSG00000196277","GRM7"
"294","chr3","Lamina","ENSG00000227110","LMCD1-AS1"
"295","chr3","Near_Lm2","ENSG00000227110","LMCD1-AS1"
"296","chr3","Near_Lm1","ENSG00000227110","LMCD1-AS1"
"297","chr3","Lamina","ENSG00000182247","UBE2E2"
"298","chr3","Near_Lm2","ENSG00000182247","UBE2E2"
"299","chr3","Speckle","ENSG00000088538","DOCK3"
"300","chr3","Interior_Repr1","ENSG00000088538","DOCK3"
"301","chr3","Near_Lm1","ENSG00000157445","CACNA2D3"
"302","chr3","Near_Lm1","ENSG00000189283","FHIT"
"303","chr3","Near_Lm1","ENSG00000144724","PTPRG"
"304","chr3","Near_Lm1","ENSG00000163618","CADPS"
"305","chr3","Near_Lm2","ENSG00000163618","CADPS"
"306","chr3","Near_Lm1","ENSG00000241684","ADAMTS9-AS2"
"307","chr3","Near_Lm1","ENSG00000151276","MAGI1"
"308","chr3","Interior_Act3","ENSG00000151276","MAGI1"
"309","chr3","Near_Lm2","ENSG00000163377","FAM19A4"
"310","chr3","Near_Lm1","ENSG00000114541","FRMD4B"
"311","chr3","Near_Lm1","ENSG00000114861","FOXP1"
"312","chr3","Interior_Act3","ENSG00000114861","FOXP1"
"313","chr3","Lamina","ENSG00000242759","LINC00882"
"314","chr3","Near_Lm2","ENSG00000242759","LINC00882"
"315","chr3","Interior_Act3","ENSG00000240423","LINC00636"
"316","chr3","Near_Lm2","ENSG00000240891","PLCXD2"
"317","chr3","Near_Lm2","ENSG00000172139","SLC9C1"
"318","chr3","Near_Lm2","ENSG00000151577","DRD3"
"319","chr3","Near_Lm2","ENSG00000181722","ZBTB20"
"320","chr3","Lamina","ENSG00000181722","ZBTB20"
"321","chr3","Near_Lm2","ENSG00000240254","B4GALT4-AS1"
"322","chr3","Near_Lm2","ENSG00000051341","POLQ"
"323","chr3","Interior_Act3","ENSG00000051341","POLQ"
"324","chr3","Near_Lm1","ENSG00000196353","CPNE4"
"325","chr3","Near_Lm1","ENSG00000113971","NPHP3"
"326","chr3","Near_Lm1","ENSG00000081307","UBA5"
"327","chr3","Near_Lm1","ENSG00000248724","NPHP3-AS1"
"328","chr3","Interior_Repr1","ENSG00000248724","NPHP3-AS1"
"329","chr3","Near_Lm2","ENSG00000066405","CLDN18"
"330","chr3","Near_Lm2","ENSG00000158163","DZIP1L"
"331","chr3","Near_Lm1","ENSG00000158163","DZIP1L"
"332","chr3","Lamina","ENSG00000152952","PLOD2"
"333","chr3","Near_Lm2","ENSG00000152977","ZIC1"
"334","chr3","Lamina","ENSG00000152977","ZIC1"
"335","chr3","Near_Lm2","ENSG00000071794","HLTF"
"336","chr3","Interior_Act3","ENSG00000070087","PFN2"
"337","chr3","Near_Lm2","ENSG00000114805","PLCH1"
"338","chr3","Near_Lm2","ENSG00000250588","IQCJ-SCHIP1"
"339","chr3","Lamina","ENSG00000250588","IQCJ-SCHIP1"
"340","chr3","Near_Lm2","ENSG00000214216","IQCJ"
"341","chr3","Lamina","ENSG00000214216","IQCJ"
"342","chr3","Lamina","ENSG00000163590","PPM1L"
"343","chr3","Near_Lm2","ENSG00000206120","EGFEM1P"
"344","chr3","Lamina","ENSG00000206120","EGFEM1P"
"345","chr3","Interior_Act3","ENSG00000075420","FNDC3B"
"346","chr3","Lamina","ENSG00000177694","NAALADL2"
"347","chr3","Interior_Act3","ENSG00000228221","LINC00578"
"348","chr3","Near_Lm2","ENSG00000228221","LINC00578"
"349","chr3","Lamina","ENSG00000145075","CCDC39"
"350","chr3","Near_Lm2","ENSG00000145075","CCDC39"
"351","chr3","Interior_Act1","ENSG00000113790","EHHADH"
"352","chr3","Near_Lm2","ENSG00000145012","LPP"
"353","chr3","Lamina","ENSG00000145012","LPP"
"354","chr3","Lamina","ENSG00000114279","FGF12"
"355","chr3","Near_Lm2","ENSG00000114279","FGF12"
"356","chr3","Near_Lm2","ENSG00000127249","ATP13A4"
"357","chr4","Near_Lm2","ENSG00000185774","KCNIP4"
"358","chr4","Lamina","ENSG00000185774","KCNIP4"
"359","chr4","Near_Lm2","ENSG00000174145","KIAA1239"
"360","chr4","Near_Lm2","ENSG00000154274","C4orf19"
"361","chr4","Near_Lm1","ENSG00000154274","C4orf19"
"362","chr4","Near_Lm1","ENSG00000163697","APBB2"
"363","chr4","Lamina","ENSG00000183783","KCTD8"
"364","chr4","Interior_Act3","ENSG00000145216","FIP1L1"
"365","chr4","Near_Lm1","ENSG00000145216","FIP1L1"
"366","chr4","Interior_Act3","ENSG00000090989","EXOC1"
"367","chr4","Lamina","ENSG00000205649","HTN3"
"368","chr4","Near_Lm2","ENSG00000156140","ADAMTS3"
"369","chr4","Interior_Act3","ENSG00000156140","ADAMTS3"
"370","chr4","Near_Lm2","ENSG00000197826","C4orf22"
"371","chr4","Near_Lm2","ENSG00000138670","RASGEF1B"
"372","chr4","Near_Lm1","ENSG00000138670","RASGEF1B"
"373","chr4","Interior_Act3","ENSG00000138678","AGPAT9"
"374","chr4","Near_Lm2","ENSG00000138678","AGPAT9"
"375","chr4","Near_Lm2","ENSG00000163629","PTPN13"
"376","chr4","Lamina","ENSG00000184305","CCSER1"
"377","chr4","Near_Lm1","ENSG00000184305","CCSER1"
"378","chr4","Lamina","ENSG00000152208","GRID2"
"379","chr4","Interior_Act3","ENSG00000163110","PDLIM5"
"380","chr4","Near_Lm2","ENSG00000163110","PDLIM5"
"381","chr4","Near_Lm2","ENSG00000182168","UNC5C"
"382","chr4","Lamina","ENSG00000182168","UNC5C"
"383","chr4","Lamina","ENSG00000153064","BANK1"
"384","chr4","Near_Lm2","ENSG00000236699","ARHGEF38"
"385","chr4","Interior_Act3","ENSG00000188517","COL25A1"
"386","chr4","Interior_Act3","ENSG00000170522","ELOVL6"
"387","chr4","Lamina","ENSG00000145349","CAMK2D"
"388","chr4","Near_Lm2","ENSG00000172399","MYOZ2"
"389","chr4","Lamina","ENSG00000138738","PRDM5"
"390","chr4","Interior_Act3","ENSG00000138709","LARP1B"
"391","chr4","Near_Lm2","ENSG00000071205","ARHGAP10"
"392","chr4","Lamina","ENSG00000120251","GRIA2"
"393","chr4","Near_Lm2","ENSG00000171497","PPID"
"394","chr4","Near_Lm2","ENSG00000145416","MARCH1"
"395","chr4","Lamina","ENSG00000145416","MARCH1"
"396","chr4","Near_Lm2","ENSG00000170088","TMEM192"
"397","chr4","Interior_Act3","ENSG00000170088","TMEM192"
"398","chr4","Near_Lm2","ENSG00000109472","CPE"
"399","chr4","Near_Lm2","ENSG00000154447","SH3RF1"
"400","chr4","Lamina","ENSG00000174473","GALNTL6"
"401","chr4","Near_Lm2","ENSG00000174473","GALNTL6"
"402","chr4","Near_Lm2","ENSG00000218336","TENM3"
"403","chr4","Lamina","ENSG00000218336","TENM3"
"404","chr5","Near_Lm2","ENSG00000078295","ADCY2"
"405","chr5","Near_Lm1","ENSG00000169862","CTNND2"
"406","chr5","Near_Lm2","ENSG00000169862","CTNND2"
"407","chr5","Lamina","ENSG00000169862","CTNND2"
"408","chr5","Lamina","ENSG00000039139","DNAH5"
"409","chr5","Near_Lm2","ENSG00000039139","DNAH5"
"410","chr5","Lamina","ENSG00000183580","FBXL7"
"411","chr5","Near_Lm1","ENSG00000145555","MYO10"
"412","chr5","Near_Lm1","ENSG00000176788","BASP1"
"413","chr5","Lamina","ENSG00000145526","CDH18"
"414","chr5","Lamina","ENSG00000154162","CDH12"
"415","chr5","Near_Lm1","ENSG00000205838","TTC23L"
"416","chr5","Near_Lm1","ENSG00000079215","SLC1A3"
"417","chr5","Near_Lm1","ENSG00000113594","LIFR"
"418","chr5","Near_Lm1","ENSG00000244968","LIFR-AS1"
"419","chr5","Lamina","ENSG00000070193","FGF10"
"420","chr5","Near_Lm1","ENSG00000185305","ARL15"
"421","chr5","Interior_Act3","ENSG00000185305","ARL15"
"422","chr5","Near_Lm2","ENSG00000113448","PDE4D"
"423","chr5","Lamina","ENSG00000113448","PDE4D"
"424","chr5","Interior_Act3","ENSG00000164182","NDUFAF2"
"425","chr5","Near_Lm1","ENSG00000178722","C5orf64"
"426","chr5","Near_Lm2","ENSG00000153015","CWC27"
"427","chr5","Near_Lm2","ENSG00000049192","ADAMTS6"
"428","chr5","Near_Lm1","ENSG00000069020","MAST4"
"429","chr5","Near_Lm2","ENSG00000164180","TMEM161B"
"430","chr5","Near_Lm2","ENSG00000175471","MCTP1"
"431","chr5","Lamina","ENSG00000175471","MCTP1"
"432","chr5","Interior_Act3","ENSG00000164292","RHOBTB3"
"433","chr5","Near_Lm2","ENSG00000153113","CAST"
"434","chr5","Interior_Act3","ENSG00000153113","CAST"
"435","chr5","Lamina","ENSG00000173930","SLCO4C1"
"436","chr5","Interior_Act3","ENSG00000171444","MCC"
"437","chr5","Near_Lm2","ENSG00000171444","MCC"
"438","chr5","Near_Lm2","ENSG00000151304","SRFBP1"
"439","chr5","Interior_Act3","ENSG00000173926","MARCH3"
"440","chr5","Near_Lm2","ENSG00000173926","MARCH3"
"441","chr5","Near_Lm2","ENSG00000138829","FBN2"
"442","chr5","Lamina","ENSG00000138829","FBN2"
"443","chr5","Interior_Act3","ENSG00000217128","FNIP1"
"444","chr5","Interior_Repr1","ENSG00000204956","PCDHGA1"
"445","chr5","Interior_Act1","ENSG00000204956","PCDHGA1"
"446","chr5","Interior_Act2","ENSG00000204956","PCDHGA1"
"447","chr5","Interior_Repr1","ENSG00000081853","PCDHGA2"
"448","chr5","Interior_Act1","ENSG00000081853","PCDHGA2"
"449","chr5","Interior_Act2","ENSG00000081853","PCDHGA2"
"450","chr5","Interior_Repr1","ENSG00000254245","PCDHGA3"
"451","chr5","Interior_Act1","ENSG00000254245","PCDHGA3"
"452","chr5","Interior_Act2","ENSG00000254245","PCDHGA3"
"453","chr5","Interior_Repr1","ENSG00000254221","PCDHGB1"
"454","chr5","Interior_Act1","ENSG00000254221","PCDHGB1"
"455","chr5","Interior_Act2","ENSG00000254221","PCDHGB1"
