"","chromosome_name","spin","spin_start","spin_end","ensembl_gene_id","hgnc_symbol"
"46","chr1","Near_Lm2",84465684,84565683,"ENSG00000142875","PRKACB"
"47","chr1","Near_Lm2",84565684,84665683,"ENSG00000142875","PRKACB"
"48","chr1","Near_Lm2",84665684,84765683,"ENSG00000142875","PRKACB"
"49","chr1","Interior_Act3",85065684,85165683,"ENSG00000180869","C1orf180"
"50","chr1","Near_Lm2",85765684,85865683,"ENSG00000153904","DDAH1"
"51","chr1","Near_Lm2",85865684,85965683,"ENSG00000153904","DDAH1"
"52","chr1","Near_Lm2",85965684,86065683,"ENSG00000153904","DDAH1"
"53","chr1","Near_Lm2",89365684,89465683,"ENSG00000137944","CCBL2"
"54","chr1","Near_Lm1",92665558,92765557,"ENSG00000203910","C1orf146"
"55","chr1","Lamina",99065557,99165556,"ENSG00000162627","SNX7"
"56","chr1","Lamina",99165557,99265556,"ENSG00000162627","SNX7"
"57","chr1","Interior_Act3",100265557,100365556,"ENSG00000162688","AGL"
"58","chr1","Interior_Act3",100365557,100465556,"ENSG00000162688","AGL"
"59","chr1","Near_Lm2",101265557,101365556,"ENSG00000162694","EXTL2"
"60","chr1","Interior_Repr2",111642623,111742622,"ENSG00000162777","DENND2D"
"61","chr1","Interior_Repr2",111742623,111842622,"ENSG00000162777","DENND2D"
"62","chr1","Near_Lm1",116442622,116542621,"ENSG00000163393","SLC22A15"
"63","chr1","Near_Lm1",116542622,116642621,"ENSG00000163393","SLC22A15"
"64","chr1",NA,NA,NA,"ENSG00000232745","ANKRD20A14P"
"65","chr1","Near_Lm2",164469238,164569237,"ENSG00000185630","PBX1"
"66","chr1","Near_Lm2",164569238,164669237,"ENSG00000185630","PBX1"
"67","chr1","Near_Lm2",164669238,164769237,"ENSG00000185630","PBX1"
"68","chr1","Near_Lm2",164769238,164869237,"ENSG00000185630","PBX1"
"69","chr1","Near_Lm2",171097443,171169139,"ENSG00000094963","FMO2"
"70","chr1","Near_Lm2",171169140,171269139,"ENSG00000094963","FMO2"
"71","chr1","Near_Lm1",174069139,174169138,"ENSG00000152061","RABGAP1L"
"72","chr1","Near_Lm1",174169139,174269138,"ENSG00000152061","RABGAP1L"
"73","chr1","Near_Lm1",174269139,174369138,"ENSG00000152061","RABGAP1L"
"74","chr1","Near_Lm1",174369139,174469138,"ENSG00000152061","RABGAP1L"
"75","chr1","Near_Lm1",174469139,174569138,"ENSG00000152061","RABGAP1L"
"76","chr1","Near_Lm1",174569139,174669138,"ENSG00000152061","RABGAP1L"
"77","chr1","Near_Lm1",174669139,174769138,"ENSG00000152061","RABGAP1L"
"78","chr1","Near_Lm1",174769139,174853058,"ENSG00000152061","RABGAP1L"
"79","chr1","Interior_Act3",174869138,174968530,"ENSG00000152061","RABGAP1L"
"80","chr1","Near_Lm1",175269137,175369136,"ENSG00000116147","TNR"
"81","chr1","Near_Lm1",175369137,175469136,"ENSG00000116147","TNR"
"82","chr1","Near_Lm1",175469137,175569136,"ENSG00000116147","TNR"
"83","chr1","Near_Lm1",175569137,175669136,"ENSG00000116147","TNR"
"84","chr1","Near_Lm1",175669137,175769136,"ENSG00000116147","TNR"
"85","chr1","Near_Lm2",177969136,178069135,"ENSG00000075391","RASAL2"
"86","chr1","Near_Lm2",178069136,178169135,"ENSG00000075391","RASAL2"
"87","chr1","Lamina",178169136,178269135,"ENSG00000075391","RASAL2"
"88","chr1","Near_Lm2",178269136,178369135,"ENSG00000075391","RASAL2"
"89","chr1","Near_Lm2",178369136,178469135,"ENSG00000075391","RASAL2"
"90","chr1","Near_Lm2",192869131,192969130,"ENSG00000234871","LINC01032"
"91","chr1","Near_Lm2",193069131,193169130,"ENSG00000134371","CDC73"
"92","chr1","Near_Lm2",193169131,193269130,"ENSG00000134371","CDC73"
"93","chr1","Lamina",196169131,196269130,"ENSG00000162687","KCNT2"
"94","chr1","Lamina",196269131,196369130,"ENSG00000162687","KCNT2"
"95","chr1","Lamina",196369131,196469130,"ENSG00000162687","KCNT2"
"96","chr1","Lamina",196469131,196569130,"ENSG00000162687","KCNT2"
"97","chr1","Lamina",196569131,196669130,"ENSG00000162687","KCNT2"
"98","chr1","Near_Lm2",210873343,210973342,"ENSG00000143473","KCNH1"
"99","chr1","Near_Lm2",210973343,211073342,"ENSG00000143473","KCNH1"
"100","chr1","Near_Lm2",211073343,211173342,"ENSG00000143473","KCNH1"
"101","chr1","Near_Lm2",211173343,211273342,"ENSG00000143473","KCNH1"
"102","chr1","Near_Lm2",211273343,211373342,"ENSG00000143473","KCNH1"
"103","chr1","Lamina",216673343,216773342,"ENSG00000196482","ESRRG"
"104","chr1","Lamina",216773343,216873342,"ENSG00000196482","ESRRG"
"105","chr1","Lamina",216873343,216973342,"ENSG00000196482","ESRRG"
"106","chr1","Lamina",216973343,217073342,"ENSG00000196482","ESRRG"
"107","chr1","Lamina",217073343,217173342,"ENSG00000196482","ESRRG"
"108","chr1","Lamina",217173343,217273342,"ENSG00000196482","ESRRG"
"109","chr1","Lamina",217273343,217373342,"ENSG00000196482","ESRRG"
"110","chr1","Lamina",217573343,217673342,"ENSG00000092978","GPATCH2"
"111","chr1","Lamina",217673343,217773342,"ENSG00000092978","GPATCH2"
"112","chr1","Lamina",217773343,217873342,"ENSG00000092978","GPATCH2"
"113","chr1","Lamina",219773343,219873342,"ENSG00000196660","SLC30A10"
"114","chr1","Near_Lm2",219873343,219973342,"ENSG00000196660","SLC30A10"
"115","chr1","Near_Lm2",219973343,220073342,"ENSG00000196660","SLC30A10"
"116","chr1","Near_Lm2",220073343,220173342,"ENSG00000196660","SLC30A10"
"117","chr1","Near_Lm2",220673343,220773342,"ENSG00000116141","MARK1"
"118","chr1","Near_Lm2",220773343,220873342,"ENSG00000116141","MARK1"
"119","chr1","Near_Lm2",221873343,221973342,"ENSG00000143507","DUSP10"
"120","chr1","Lamina",239463301,239563300,"ENSG00000133019","CHRM3"
"121","chr1","Lamina",239563301,239663300,"ENSG00000133019","CHRM3"
"122","chr1","Lamina",239663301,239763300,"ENSG00000133019","CHRM3"
"123","chr1","Lamina",239763301,239863300,"ENSG00000133019","CHRM3"
"124","chr1","Lamina",239863301,239963300,"ENSG00000133019","CHRM3"
"125","chr1","Lamina",239963301,240063300,"ENSG00000133019","CHRM3"
"126","chr1","Lamina",240063301,240163300,"ENSG00000133019","CHRM3"
"127","chr1","Lamina",240163301,240263300,"ENSG00000155816","FMN2"
"128","chr1","Lamina",240263301,240363300,"ENSG00000155816","FMN2"
"129","chr1","Lamina",240363301,240463300,"ENSG00000155816","FMN2"
"130","chr1","Lamina",240463301,240563300,"ENSG00000155816","FMN2"
"131","chr1","Lamina",240563301,240663300,"ENSG00000155816","FMN2"
"132","chr1","Near_Lm2",243363303,243463302,"ENSG00000054282","SDCCAG8"
"133","chr1","Near_Lm2",243463303,243563302,"ENSG00000054282","SDCCAG8"
"134","chr1","Near_Lm2",243563303,243663302,"ENSG00000054282","SDCCAG8"
"135","chr1","Near_Lm2",243663303,243763302,"ENSG00000054282","SDCCAG8"
"136","chr1","Near_Lm2",247563303,247663302,"ENSG00000162711","NLRP3"
"137","chr1","Near_Lm2",247663303,247763302,"ENSG00000169224","GCSAML"
"138","chr10","Interior_Repr1",4842193,4942192,"ENSG00000151631","AKR1C6P"
"139","chr10","Near_Lm2",10941964,11041963,"ENSG00000229240","LINC00710"
"140","chr10","Interior_Repr2",15542000,15641999,"ENSG00000077943","ITGA8"
"141","chr10","Interior_Repr2",15642000,15741999,"ENSG00000077943","ITGA8"
"142","chr10","Near_Lm1",15742000,15841999,"ENSG00000077943","ITGA8"
"143","chr10","Near_Lm1",15742000,15841999,"ENSG00000148481","FAM188A"
"144","chr10","Near_Lm1",15842000,15941999,"ENSG00000148481","FAM188A"
"145","chr10","Near_Lm1",16542000,16641999,"ENSG00000148484","RSU1"
"146","chr10","Near_Lm1",16642000,16741999,"ENSG00000148484","RSU1"
"147","chr10","Near_Lm1",16742000,16841999,"ENSG00000148484","RSU1"
"148","chr10","Near_Lm1",16842000,16941999,"ENSG00000148484","RSU1"
"149","chr10","Near_Lm1",18188930,18288929,"ENSG00000148482","SLC39A12"
"150","chr10","Near_Lm1",18288930,18388929,"ENSG00000148482","SLC39A12"
"151","chr10","Near_Lm1",18388930,18488929,"ENSG00000165995","CACNB2"
"152","chr10","Near_Lm1",18488930,18588929,"ENSG00000165995","CACNB2"
"153","chr10","Near_Lm1",18588930,18688929,"ENSG00000165995","CACNB2"
"154","chr10","Near_Lm1",18688930,18788929,"ENSG00000165995","CACNB2"
"155","chr10","Near_Lm1",18788930,18888929,"ENSG00000165995","CACNB2"
"156","chr10","Interior_Act3",21988930,22088929,"ENSG00000136770","DNAJC1"
"157","chr10","Interior_Act3",22088930,22188929,"ENSG00000136770","DNAJC1"
"158","chr10","Interior_Act3",22188930,22288929,"ENSG00000136770","DNAJC1"
"159","chr10","Interior_Act3",22288930,22388929,"ENSG00000136770","DNAJC1"
"160","chr10","Interior_Act3",25088930,25188929,"ENSG00000099256","PRTFDC1"
"161","chr10","Interior_Act3",25188930,25288929,"ENSG00000099256","PRTFDC1"
"162","chr10","Near_Lm1",27988930,28088929,"ENSG00000169126","ARMC4"
"163","chr10","Near_Lm1",28088930,28188929,"ENSG00000169126","ARMC4"
"164","chr10","Near_Lm1",28188930,28288929,"ENSG00000169126","ARMC4"
"165","chr10","Near_Lm1",28288930,28388929,"ENSG00000150054","MPP7"
"166","chr10","Near_Lm1",28388930,28488929,"ENSG00000150054","MPP7"
"167","chr10","Near_Lm1",28488930,28588929,"ENSG00000150054","MPP7"
"168","chr10","Near_Lm1",28588930,28688929,"ENSG00000150054","MPP7"
"169","chr10","Interior_Act3",32488929,32588928,"ENSG00000120616","EPC1"
"170","chr10","Near_Lm1",32588929,32688928,"ENSG00000120616","EPC1"
"171","chr10","Near_Lm1",43895449,43995448,"ENSG00000243660","ZNF487"
"172","chr10","Interior_Act3",52059761,52159760,"ENSG00000198964","SGMS1"
"173","chr10","Interior_Act3",52159761,52259760,"ENSG00000198964","SGMS1"
"174","chr10","Interior_Act3",52259761,52359760,"ENSG00000198964","SGMS1"
"175","chr10","Near_Lm2",52359761,52459760,"ENSG00000198964","SGMS1"
"176","chr10","Near_Lm2",52659761,52759760,"ENSG00000185532","PRKG1"
"177","chr10","Near_Lm2",52759761,52859760,"ENSG00000185532","PRKG1"
"178","chr10","Lamina",52859761,52959760,"ENSG00000185532","PRKG1"
"179","chr10","Lamina",52959761,53059760,"ENSG00000185532","PRKG1"
"180","chr10","Lamina",53059761,53159760,"ENSG00000185532","PRKG1"
"181","chr10","Lamina",53159761,53259760,"ENSG00000185532","PRKG1"
"182","chr10","Lamina",53259761,53359760,"ENSG00000185532","PRKG1"
"183","chr10","Lamina",53359761,53459760,"ENSG00000185532","PRKG1"
"184","chr10","Lamina",53459761,53559760,"ENSG00000185532","PRKG1"
"185","chr10","Lamina",53559761,53659760,"ENSG00000185532","PRKG1"
"186","chr10","Lamina",53659761,53759760,"ENSG00000185532","PRKG1"
"187","chr10","Lamina",53759761,53859760,"ENSG00000185532","PRKG1"
"188","chr10","Lamina",53859761,53959760,"ENSG00000185532","PRKG1"
"189","chr10","Lamina",53959761,54059760,"ENSG00000185532","PRKG1"
"190","chr10","Lamina",53959761,54059760,"ENSG00000236671","PRKG1-AS1"
"191","chr10","Lamina",54059761,54159760,"ENSG00000236671","PRKG1-AS1"
"192","chr10","Lamina",55559761,55659760,"ENSG00000150275","PCDH15"
"193","chr10","Lamina",55659761,55759760,"ENSG00000150275","PCDH15"
"194","chr10","Lamina",55759761,55859760,"ENSG00000150275","PCDH15"
"195","chr10","Lamina",55859761,55959760,"ENSG00000150275","PCDH15"
"196","chr10","Lamina",55959761,56059760,"ENSG00000150275","PCDH15"
"197","chr10","Lamina",56059761,56159760,"ENSG00000150275","PCDH15"
"198","chr10","Lamina",56159761,56259760,"ENSG00000150275","PCDH15"
"199","chr10","Lamina",56259761,56359760,"ENSG00000150275","PCDH15"
"200","chr10","Lamina",56359761,56459760,"ENSG00000150275","PCDH15"
"201","chr10","Lamina",56459761,56559760,"ENSG00000150275","PCDH15"
"202","chr10","Lamina",56559761,56659760,"ENSG00000150275","PCDH15"
"203","chr10","Lamina",56659761,56759760,"ENSG00000150275","PCDH15"
"204","chr10","Lamina",56759761,56859760,"ENSG00000150275","PCDH15"
"205","chr10","Lamina",56859761,56959760,"ENSG00000150275","PCDH15"
"206","chr10","Lamina",56959761,57059760,"ENSG00000150275","PCDH15"
"207","chr10","Lamina",57059761,57159760,"ENSG00000150275","PCDH15"
"208","chr10","Lamina",57159761,57259760,"ENSG00000150275","PCDH15"
"209","chr10","Lamina",57259761,57359760,"ENSG00000150275","PCDH15"
"210","chr10","Lamina",57359761,57459760,"ENSG00000150275","PCDH15"
"211","chr10",NA,NA,NA,"ENSG00000122873","CISD1"
"212","chr10","Interior_Act3",61759759,61859758,"ENSG00000151150","ANK3"
"213","chr10","Interior_Act3",61859759,61959758,"ENSG00000151150","ANK3"
"214","chr10","Interior_Act3",61959759,62059758,"ENSG00000151150","ANK3"
"215","chr10","Near_Lm2",62059759,62159758,"ENSG00000151150","ANK3"
"216","chr10","Near_Lm2",62159759,62259758,"ENSG00000151150","ANK3"
"217","chr10","Near_Lm2",62259759,62359758,"ENSG00000151150","ANK3"
"218","chr10","Near_Lm2",62359759,62459758,"ENSG00000151150","ANK3"
"219","chr10","Near_Lm2",62459759,62559758,"ENSG00000151150","ANK3"
"220","chr10","Lamina",83559757,83659756,"ENSG00000185737","NRG3"
"221","chr10","Lamina",83659757,83759756,"ENSG00000185737","NRG3"
"222","chr10","Lamina",83759757,83859756,"ENSG00000185737","NRG3"
"223","chr10","Lamina",83859757,83959756,"ENSG00000185737","NRG3"
"224","chr10","Lamina",83959757,84059756,"ENSG00000185737","NRG3"
"225","chr10","Lamina",84059757,84159756,"ENSG00000185737","NRG3"
"226","chr10","Lamina",84159757,84259756,"ENSG00000185737","NRG3"
"227","chr10","Lamina",84259757,84359756,"ENSG00000185737","NRG3"
"228","chr10","Lamina",84359757,84459756,"ENSG00000185737","NRG3"
"229","chr10","Lamina",84459757,84559756,"ENSG00000185737","NRG3"
"230","chr10","Lamina",84559757,84659756,"ENSG00000185737","NRG3"
"231","chr10","Lamina",84659757,84759756,"ENSG00000185737","NRG3"
"232","chr10","Interior_Repr1",96659758,96759757,"ENSG00000138109","CYP2C9"
"233","chr10","Lamina",108259759,108359758,"ENSG00000108018","SORCS1"
"234","chr10","Near_Lm2",108359759,108459758,"ENSG00000108018","SORCS1"
"235","chr10","Near_Lm2",108459759,108559758,"ENSG00000108018","SORCS1"
"236","chr10","Near_Lm2",108559759,108659758,"ENSG00000108018","SORCS1"
"237","chr10","Near_Lm2",108659759,108759758,"ENSG00000108018","SORCS1"
"238","chr10","Near_Lm2",108759759,108859758,"ENSG00000108018","SORCS1"
"239","chr10","Near_Lm2",108859759,108959758,"ENSG00000108018","SORCS1"
"240","chr10","Near_Lm2",116759760,116855119,"ENSG00000107518","ATRNL1"
"241","chr10","Near_Lm2",116874536,116888590,"ENSG00000107518","ATRNL1"
"242","chr10","Lamina",117030676,117059510,"ENSG00000107518","ATRNL1"
"243","chr10","Lamina",117059511,117159510,"ENSG00000107518","ATRNL1"
"244","chr10","Lamina",117159511,117259510,"ENSG00000107518","ATRNL1"
"245","chr10","Lamina",117259511,117359510,"ENSG00000107518","ATRNL1"
"246","chr10","Interior_Repr1",117290184,117290379,"ENSG00000107518","ATRNL1"
"247","chr10","Lamina",117359511,117459510,"ENSG00000107518","ATRNL1"
"248","chr10","Lamina",117494745,117559511,"ENSG00000107518","ATRNL1"
"249","chr10","Lamina",117559512,117659511,"ENSG00000107518","ATRNL1"
"250","chr10","Near_Lm2",117659512,117759511,"ENSG00000107518","ATRNL1"
"251","chr10","Near_Lm1",118559512,118659511,"ENSG00000187164","KIAA1598"
"252","chr10","Near_Lm1",118659512,118759511,"ENSG00000187164","KIAA1598"
"253","chr10","Near_Lm1",118759512,118859511,"ENSG00000187164","KIAA1598"
"254","chr10","Near_Lm1",118859512,118959511,"ENSG00000187164","KIAA1598"
"255","chr10","Near_Lm1",119759512,119859511,"ENSG00000177640","CASC2"
"256","chr10","Near_Lm1",119859512,119936995,"ENSG00000177640","CASC2"
"257","chr10","Near_Lm1",119959513,120059512,"ENSG00000177640","CASC2"
"258","chr11","Near_Lm1",4721231,4821230,"ENSG00000167346","MMP26"
"259","chr11","Near_Lm1",4821231,4921230,"ENSG00000167346","MMP26"
"260","chr11","Near_Lm1",4921231,5021230,"ENSG00000167346","MMP26"
"261","chr11","Interior_Repr1",5621231,5721230,"ENSG00000132256","TRIM5"
"262","chr11","Interior_Repr1",5721231,5821230,"ENSG00000132256","TRIM5"
"263","chr11","Interior_Repr1",5821231,5921230,"ENSG00000132256","TRIM5"
"264","chr11","Interior_Repr1",5921231,6021230,"ENSG00000132256","TRIM5"
"265","chr11","Near_Lm1",8321548,8421547,"ENSG00000130413","STK33"
"266","chr11","Near_Lm1",8421548,8521547,"ENSG00000130413","STK33"
"267","chr11","Near_Lm1",8521548,8621547,"ENSG00000130413","STK33"
"268","chr11","Near_Lm2",20521547,20621546,"ENSG00000165970","SLC6A5"
"269","chr11","Near_Lm2",20621547,20721546,"ENSG00000165970","SLC6A5"
"270","chr11","Near_Lm2",20621547,20721546,"ENSG00000165973","NELL1"
"271","chr11","Near_Lm2",20721547,20821546,"ENSG00000165973","NELL1"
"272","chr11","Lamina",20821547,20921546,"ENSG00000165973","NELL1"
"273","chr11","Lamina",20921547,21021546,"ENSG00000165973","NELL1"
"274","chr11","Lamina",21021547,21121546,"ENSG00000165973","NELL1"
"275","chr11","Lamina",21121547,21221546,"ENSG00000165973","NELL1"
"276","chr11","Lamina",21221547,21321546,"ENSG00000165973","NELL1"
"277","chr11","Lamina",21321547,21421546,"ENSG00000165973","NELL1"
"278","chr11","Lamina",21421547,21521546,"ENSG00000165973","NELL1"
"279","chr11","Lamina",21521547,21621546,"ENSG00000165973","NELL1"
"280","chr11","Lamina",30021548,30121547,"ENSG00000182255","KCNA4"
"281","chr11","Interior_Act3",32621547,32721546,"ENSG00000186714","CCDC73"
"282","chr11","Interior_Act3",32721547,32821546,"ENSG00000186714","CCDC73"
"283","chr11","Interior_Act1",59467474,59567473,"ENSG00000166900","STX3"
"284","chr11","Interior_Act1",59567474,59667473,"ENSG00000166900","STX3"
"285","chr11","Near_Lm2",83111044,83211043,"ENSG00000150672","DLG2"
"286","chr11","Near_Lm2",83211044,83311043,"ENSG00000150672","DLG2"
"287","chr11","Lamina",83311044,83411043,"ENSG00000150672","DLG2"
"288","chr11","Lamina",83411044,83511043,"ENSG00000150672","DLG2"
"289","chr11","Lamina",83511044,83611043,"ENSG00000150672","DLG2"
"290","chr11","Lamina",83611044,83711043,"ENSG00000150672","DLG2"
"291","chr11","Lamina",83711044,83811043,"ENSG00000150672","DLG2"
"292","chr11","Lamina",83811044,83911043,"ENSG00000150672","DLG2"
"293","chr11","Lamina",83911044,84011043,"ENSG00000150672","DLG2"
"294","chr11","Lamina",84011044,84111043,"ENSG00000150672","DLG2"
"295","chr11","Lamina",84111044,84211043,"ENSG00000150672","DLG2"
"296","chr11","Lamina",84211044,84311043,"ENSG00000150672","DLG2"
"297","chr11","Lamina",84311044,84411043,"ENSG00000150672","DLG2"
"298","chr11","Lamina",84411044,84511043,"ENSG00000150672","DLG2"
"299","chr11","Lamina",84555376,84611044,"ENSG00000150672","DLG2"
"300","chr11","Lamina",84611045,84711044,"ENSG00000150672","DLG2"
"301","chr11","Lamina",84711045,84811044,"ENSG00000150672","DLG2"
"302","chr11","Lamina",84811045,84911044,"ENSG00000150672","DLG2"
"303","chr11","Lamina",84911045,85011044,"ENSG00000150672","DLG2"
"304","chr11","Lamina",85011045,85111044,"ENSG00000150672","DLG2"
"305","chr11","Lamina",85111045,85211044,"ENSG00000150672","DLG2"
"306","chr11","Near_Lm2",85211045,85311044,"ENSG00000150672","DLG2"
"307","chr11","Near_Lm2",85311045,85393700,"ENSG00000150672","DLG2"
"308","chr11","Interior_Act3",86111043,86211042,"ENSG00000151376","ME3"
"309","chr11","Interior_Act3",86211043,86311042,"ENSG00000151376","ME3"
"310","chr11","Interior_Act3",86311043,86411042,"ENSG00000151376","ME3"
"311","chr11","Interior_Act3",86411043,86511042,"ENSG00000150687","PRSS23"
"312","chr11","Interior_Act3",86511043,86611042,"ENSG00000150687","PRSS23"
"313","chr11","Interior_Act3",86611043,86711042,"ENSG00000150687","PRSS23"
"314","chr11","Near_Lm2",87933169,88033168,"ENSG00000109861","CTSC"
"315","chr11","Near_Lm2",88033169,88133168,"ENSG00000109861","CTSC"
"316","chr11","Interior_Act3",95468318,95533164,"ENSG00000166037","CEP57"
"317","chr11","Interior_Act3",95533165,95633164,"ENSG00000166037","CEP57"
"318","chr11","Interior_Act3",95533165,95633164,"ENSG00000087053","MTMR2"
"319","chr11","Interior_Act3",95633165,95733164,"ENSG00000087053","MTMR2"
"320","chr11","Interior_Act3",95633165,95733164,"ENSG00000184384","MAML2"
"321","chr11","Interior_Act3",95751762,95833164,"ENSG00000184384","MAML2"
"322","chr11","Interior_Act3",95833165,95933164,"ENSG00000184384","MAML2"
"323","chr11","Interior_Act3",95933165,96033164,"ENSG00000184384","MAML2"
"324","chr11","Near_Lm2",96033165,96133164,"ENSG00000184384","MAML2"
"325","chr11","Near_Lm2",102370732,102470731,"ENSG00000137673","MMP7"
"326","chr11","Near_Lm2",114370723,114470722,"ENSG00000137634","NXPE4"
"327","chr11","Near_Lm2",124469897,124569896,"ENSG00000154143","PANX3"
"328","chr11","Near_Lm2",129169896,129269895,"ENSG00000043039","BARX2"
"329","chr11","Near_Lm2",129269896,129369895,"ENSG00000043039","BARX2"
"330","chr12","Near_Lm1",10952600,11052599,"ENSG00000111215","PRR4"
"331","chr12","Near_Lm1",11052600,11152599,"ENSG00000111215","PRR4"
"332","chr12","Near_Lm1",11152600,11252599,"ENSG00000111215","PRR4"
"333","chr12","Near_Lm1",11252600,11331782,"ENSG00000111215","PRR4"
"334","chr12","Interior_Repr1",11452935,11552934,"ENSG00000251655","PRB1"
"335","chr12","Interior_Repr1",11452935,11552934,"ENSG00000121335","PRB2"
"336","chr12","Interior_Repr2",11552935,11652934,"ENSG00000121335","PRB2"
"337","chr12","Interior_Repr2",11652935,11752934,"ENSG00000121335","PRB2"
"338","chr12","Interior_Act3",14752935,14852934,"ENSG00000070019","GUCY2C"
"339","chr12","Lamina",16252935,16352934,"ENSG00000188991","SLC15A5"
"340","chr12","Lamina",16352935,16452934,"ENSG00000188991","SLC15A5"
"341","chr12","Lamina",18352935,18452934,"ENSG00000139144","PIK3C2G"
"342","chr12","Near_Lm2",18452935,18552934,"ENSG00000139144","PIK3C2G"
"343","chr12","Near_Lm2",18552935,18652934,"ENSG00000139144","PIK3C2G"
"344","chr12","Near_Lm2",18652935,18752934,"ENSG00000139144","PIK3C2G"
"345","chr12","Near_Lm2",18752935,18852934,"ENSG00000139144","PIK3C2G"
"346","chr12","Near_Lm2",19552935,19652934,"ENSG00000139154","AEBP2"
"347","chr12","Near_Lm2",19652935,19752934,"ENSG00000139154","AEBP2"
"348","chr12","Near_Lm2",19752935,19852934,"ENSG00000139154","AEBP2"
"349","chr12","Near_Lm2",19852935,19952934,"ENSG00000139154","AEBP2"
"350","chr12","Near_Lm1",25252935,25352934,"ENSG00000118307","CASC1"
"351","chr12","Interior_Act3",42793803,42893802,"ENSG00000139174","PRICKLE1"
"352","chr12","Near_Lm2",42893803,42993802,"ENSG00000139174","PRICKLE1"
"353","chr12","Near_Lm2",62593782,62693781,"ENSG00000135655","USP15"
"354","chr12","Interior_Act3",62693782,62779877,"ENSG00000135655","USP15"
"355","chr12","Interior_Act3",62793781,62893780,"ENSG00000135655","USP15"
"356","chr12","Interior_Act3",62993781,63093780,"ENSG00000111110","PPM1H"
"357","chr12","Interior_Act3",63093781,63193780,"ENSG00000111110","PPM1H"
"358","chr12","Interior_Act3",63193781,63293780,"ENSG00000111110","PPM1H"
